id,workspace,layer,layer_label,level,acronym,status
1,MaliSoilMapFAO,acrisolsmerge,Acrisols,1,AC,1
2,MaliSoilMapFAO,arenosolsmerge,Arenosols,1,AR,1
3,MaliSoilMapFAO,cambisolsmerge,Cambisols,1,CA,1
4,MaliSoilMapFAO,dunessand,Dune Sand,1,DS,1
5,MaliSoilMapFAO,fluvisolsmerge,Fluvisols,1,FL,1
6,MaliSoilMapFAO,luvisolsmerge,Luvisols,1,LU,1
7,MaliSoilMapFAO,vertisolsmerge,Vertisols,1,VT,1
8,MaliSoilMapFAO,yermosolsmerge,Yermosols,1,YR,1
