date,country_name,cluster_name,contributor_name,market,Camel,Camel - Grade,Camel Price,Camel Image,Cattle,Cattle - Grade,Cattle - Price,Cattle Image,Goat,Goat - Grade,Goat - Price,Goat Image,Sheep,Sheep - Grade,Sheep Price,Sheep Image,gps_latitude,gps_longitude,gps_altitude,_review_status
2022-06-21,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2200,http://classic.ona.io/api/v1/files/27368004?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1655795740670.jpg,Yes,Moderate (Grade 2),2300,http://classic.ona.io/api/v1/files/27368005?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1655795789714.jpg,2.010418333,37.50401667,540.2,Accepted
2022-01-08,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1500,http://classic.ona.io/api/v1/files/24215078?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1641622279835.jpg,Yes,Moderate (Grade 2),1300,http://classic.ona.io/api/v1/files/24215079?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1641622296265.jpg,2.0102982,37.5040589,525.5,Accepted
2022-04-09,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/26050415?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1649487290977.jpg,Yes,Moderate (Grade 2),1500,http://classic.ona.io/api/v1/files/26050416?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1649487326024.jpg,2.010143333,37.50398667,566.1,Accepted
2022-04-16,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Emaciated (Grade 3),1400,http://classic.ona.io/api/v1/files/26178220?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1650090138266.jpg,Yes,Moderate (Grade 2),1600,http://classic.ona.io/api/v1/files/26178221?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1650090176844.jpg,2.010525,37.50402833,568.9,Accepted
2022-01-08,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1700,http://classic.ona.io/api/v1/files/24215091?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1641622431453.jpg,Yes,Moderate (Grade 2),2400,http://classic.ona.io/api/v1/files/24215093?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1641622451107.jpg,2.010378,37.5040626,526.1,Accepted
2022-02-19,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2500,http://classic.ona.io/api/v1/files/24826185?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1645254705973.jpg,Yes,Moderate (Grade 2),2400,http://classic.ona.io/api/v1/files/24826186?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1645254734583.jpg,2.0103275,37.5039557,552.3,Accepted
2022-02-05,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/24678454?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1644041348717.jpg,Yes,Moderate (Grade 2),2500,http://classic.ona.io/api/v1/files/24678455?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1644041402780.jpg,2.0103524,37.5041609,543.5,Accepted
2022-04-02,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/25917546?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1648881207785.jpg,Yes,Moderate (Grade 2),1000,http://classic.ona.io/api/v1/files/25917547?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1648881232903.jpg,2.010335,37.50401833,545,Accepted
2022-05-28,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2300,http://classic.ona.io/api/v1/files/26853957?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1653722429969.jpg,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/26853958?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1653722461695.jpg,2.010316667,37.50362667,541.8,Accepted
2022-06-06,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2200,http://classic.ona.io/api/v1/files/27050983?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1654498659314.jpg,Yes,Moderate (Grade 2),2800,http://classic.ona.io/api/v1/files/27050984?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1654498675814.jpg,2.010303333,37.50405,546,Accepted
