Crop ,Indicator,Indicator Name,Region Name,province_id,Region - RegionId,Scale,Units,2011,2012,2013,2014,2015,2016,2017
Maize,Expected Sales,Maize Expected Sales,Lusaka Province,33,ZM-09,units,Mt,55589.14669,53461.65539,42773.61101,61935.98488,31817.92804,44644.79419,53545.2957
Maize,Expected Sales,Maize Expected Sales,Muchinga Province,34,ZM-10,units,Mt,,143475.3501,117819.4847,145872.4865,156295.0569,148275.2496,202537.5496
Maize,Expected Sales,Maize Expected Sales,Northern Province,35,ZM-05,units,Mt,348254.9832,195014.4646,124030.7694,194712.4632,225981.0696,160695.0916,195751.7749
Maize,Expected Sales,Maize Expected Sales,North-Western Province,36,ZM-06,units,Mt,82144.92826,97475.15614,77506.00485,93617.81941,115059.0164,107735.2254,83024.73393
Maize,Expected Sales,Maize Expected Sales,Southern Province,37,ZM-07,units,Mt,297525.3566,271766.0622,177999.7716,235312.076,122000.672,154878.0192,275324.022
Maize,Expected Sales,Maize Expected Sales,Western Province,38,ZM-01,units,Mt,26397.35247,28082.27423,28744.96034,25160.23563,15251.06343,29404.2366,23104.63647
Maize,Expected Sales,Sorghum Area Planted,Zambia,,ZM,units,Ha,26853.51892,,22735.68906,16828.90212,23875.93493,32992.03812,33502.22524
Sorghum,Area Planted,Sorghum Area Planted,Central Province,29,ZM-02,units,Ha,1721.093572,828.92,615.1266658,648.5113397,472.8015001,1287.633052,2918.450535
Sorghum,Area Planted,Sorghum Area Planted,Copperbelt Province,30,ZM-08,units,Ha,1561.973986,948.9,638.5765875,612.2297968,546.835325,360.4344501,835.5979506
Sorghum,Area Planted,Sorghum Area Planted,Eastern Province,31,ZM-03,units,Ha,1889.960834,12.14,65.54354587,199.0674989,209.48119,102.5483515,5.285132744
Sorghum,Area Planted,Sorghum Area Planted,Luapula Province,32,ZM-04,units,Ha,1188.758768,356.77,187.6393968,188.676668,202.0883081,241.7768078,216.175544
Sorghum,Area Planted,Sorghum Area Planted,Lusaka Province,33,ZM-09,units,Ha,717.3536442,702.64,1202.930605,391.0837808,596.6341874,354.8913737,388.1851262
